DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT32,2021,84.6,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT33,2019,85.1,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT33,2020,84.5,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT33,2021,85.0,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT34,2019,85.3,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT34,2020,84.6,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,AT34,2021,85.2,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE,2019,84.3,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE,2020,83.0,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE,2021,84.3,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE1,2019,83.9,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE1,2020,82.0,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE1,2021,83.9,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE10,2019,83.9,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE10,2020,82.0,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE10,2021,83.9,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE2,2019,85.1,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE2,2020,84.1,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE2,2021,85.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE21,2019,84.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE21,2020,83.9,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE21,2021,84.9,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE22,2019,85.3,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE22,2020,84.2,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,BE22,2021,85.7,
